37 17 24
32 23 16
31 32 28
27 50 32
4 44 16
39 26 5
24 30 8
50 37 42
39 45 47
33 1 44
20 37 28
35 9 31
44 32 34
30 7 13
26 45 36
46 35 44
44 21 19
34 2 46
32 38 2
4 16 9
17 20 50
46 15 24
37 14 22
2 17 22
25 24 49
44 25 4
1 15 30
39 44 28
15 35 12
20 33 12
16 28 4
30 28 27
15 46 16
34 19 21
25 18 35
41 48 21
28 40 29
46 27 37
12 6 29
9 3 38
44 11 34
4 42 48
47 1 28
4 2 42
6 5 26
19 20 36
45 42 33
40 32 26
37 33 38
40 40 42
23 4 42
22 14 27
6 20 50
19 24 39
2 17 46
6 4 2
29 30 44
26 5 15
39 36 8
32 33 5
48 45 36
50 24 19
41 35 34
5 8 33
11 21 8
18 41 21
1 14 32
37 46 12
8 29 14
24 22 4
9 15 11
11 42 17
43 35 27
32 40 40
45 34 11
40 29 39
43 31 2
19 10 49
14 35 26
27 3 20
4 20 37
20 33 3
35 45 17
16 31 8
50 22 35
28 21 23
28 42 32
41 33 21
46 26 41
19 6 34
3 35 9
9 16 47
48 26 35
33 32 42
42 13 15
1 42 11
19 22 24
40 10 23
16 18 31
24 49 3
17 21 39
13 29 33
14 20 41
6 6 44
23 18 33
38 10 18
27 36 44
50 49 15
30 33 3
41 10 35
22 40 32
50 33 20
43 40 21
2 22 4
31 19 18
46 30 38
2 26 5
14 10 28
43 43 31
46 21 5
29 26 21
1 24 30
20 9 47
21 50 23
31 23 29
3 49 35
40 21 30
27 25 30
40 7 11
30 26 2
20 40 19
26 2 33
45 46 18
45 29 18
17 8 5
14 49 25
37 13 1
39 43 29
46 29 50
39 33 34
18 2 45
20 14 8
49 11 47
23 36 20
41 33 13
50 4 16
25 43 43
28 23 37
30 48 20
47 26 41
19 33 45
48 48 13
2 2 7
19 31 14
47 19 43
48 12 24
30 22 8
17 2 13
41 39 6
20 42 23
48 11 45
49 11 23
34 40 36
23 42 2
23 19 31
6 42 3
30 42 43
18 26 12
9 14 5
44 7 17
6 17 4
10 16 3
11 24 45
38 24 26
23 32 27
4 4 47
30 50 9
28 48 43
12 10 20
32 33 13
36 49 16
2 5 2
22 12 1
31 37 31
10 21 24
10 32 25
24 38 14
16 49 41
6 15 22
8 45 19
15 45 33
45 15 32
6 19 7
36 15 36
21 24 48
4 4 3
38 35 8
15 30 27
14 33 36
40 48 21
